City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Nalut,LY,78.31,clear sky,30.3333,10.85,
6,Westport,US,76.48,overcast clouds,41.1415,-73.3579,The Westport Inn
12,Rikitea,PF,75.09,broken clouds,-23.1203,-134.9692,People ThankYou
15,Ilam,NP,75.04,overcast clouds,26.9167,87.9167,चियाबारी कटेज
26,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
29,Kilindoni,TZ,76.84,scattered clouds,-7.9139,39.6668,Bustani B&B
37,Takestan,IR,78.93,few clouds,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
52,Hattiesburg,US,78.73,clear sky,31.3271,-89.2903,Quality Inn & Suites
54,Pahrump,US,78.31,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
58,Nouadhibou,MR,76.98,broken clouds,20.931,-17.0347,El Medina
82,Savinka,RU,77.05,scattered clouds,50.0785,47.0994,
84,Arman,RU,75.02,clear sky,59.7,150.1667,
99,Atuona,PF,77.79,clear sky,-9.8,-139.0333,Villa Enata
111,Zhigansk,RU,75.58,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
122,Saskylakh,RU,77.99,broken clouds,71.9167,114.0833,
133,Oussouye,SN,76.14,moderate rain,12.485,-16.5469,Auberge du Routard
134,Mitsamiouli,KM,77.29,few clouds,-11.3847,43.2844,Foyer ADM
142,Mweka,CD,75.06,overcast clouds,-4.85,21.5667,Guest House Boshab
143,Aykhal,RU,75.96,overcast clouds,66.0,111.5,
145,Hilo,US,78.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
146,Chingirlau,KZ,78.08,scattered clouds,51.095,54.0814,Хостыл Аққу
150,Puerto Escondido,MX,78.1,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
155,Arucas,ES,77.77,few clouds,28.1198,-15.5233,Casa Mama Fela
157,Lufilufi,WS,78.58,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
161,Bonthe,SL,75.07,broken clouds,7.5264,-12.505,Bonthe Holiday Village
179,Olga,RU,77.14,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
193,Sinnamary,GF,77.14,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
199,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
204,Alabaster,US,76.87,clear sky,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
217,Kasongo,CD,77.86,overcast clouds,-4.45,26.6667,Guest Hôtel
220,Pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
235,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
238,Marawi,PH,77.68,overcast clouds,7.9986,124.2928,Derogongan Residence
250,Jaguey Grande,CU,75.87,broken clouds,22.5269,-81.1286,Barberia hendrix
255,Mogadishu,SO,78.67,scattered clouds,2.0371,45.3438,Hotel Juba
270,Aguimes,ES,77.63,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
276,Sabha,LY,78.73,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
279,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
294,Salinopolis,BR,77.63,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
310,Lenine,UA,76.73,scattered clouds,45.2986,35.7771,Vostok
325,Sao Filipe,CV,77.76,overcast clouds,14.8961,-24.4956,Hotel Xaguate
328,Pochutla,MX,78.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
329,Yamada,JP,78.84,scattered clouds,39.4667,141.95,Iroha-ya Inn
