City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Oranjemund,NA,2022-07-24 19:18:22,-28.55,16.4333,63.73,41,0,5.99
1,Bredasdorp,ZA,2022-07-24 19:13:52,-34.5322,20.0403,49.24,86,0,7.34
2,Rikitea,PF,2022-07-24 19:17:43,-23.1203,-134.9692,75.0,80,24,15.14
3,Sitka,US,2022-07-24 19:18:23,57.0531,-135.33,57.09,88,100,8.05
4,Montecristi,EC,2022-07-24 19:18:24,-1.05,-80.6667,76.82,69,75,8.05
5,Ribeira Grande,PT,2022-07-24 19:17:46,38.5167,-28.7,75.6,88,75,9.22
6,Kruisfontein,ZA,2022-07-24 19:18:25,-34.0033,24.7314,51.89,87,9,6.06
7,Busselton,AU,2022-07-24 19:17:33,-33.65,115.3333,57.13,74,100,14.05
8,Korla,CN,2022-07-24 19:18:25,41.7597,86.1469,88.54,22,99,23.06
9,Gidam,IN,2022-07-24 19:18:26,18.9833,81.4,73.06,96,100,1.68
10,Morondava,MG,2022-07-24 19:18:27,-20.2833,44.2833,72.81,75,0,13.78
11,Qaanaaq,GL,2022-07-24 19:18:28,77.484,-69.3632,38.79,94,100,1.57
12,Khatanga,RU,2022-07-24 19:18:28,71.9667,102.5,67.84,57,99,14.0
13,Georgetown,MY,2022-07-24 19:16:35,5.4112,100.3354,78.73,97,40,3.44
14,Cachoeira Do Sul,BR,2022-07-24 19:18:29,-30.0392,-52.8939,77.07,73,100,1.5
15,Berekum,GH,2022-07-24 19:18:30,7.4534,-2.584,72.79,83,100,4.09
16,Kristinehamn,SE,2022-07-24 19:18:30,59.3098,14.1081,61.36,75,82,6.15
17,Puerto Ayora,EC,2022-07-24 19:16:02,-0.7393,-90.3518,78.76,87,53,7.0
18,Puri,IN,2022-07-24 19:18:30,19.8,85.85,81.12,81,100,11.3
19,Mahebourg,MU,2022-07-24 19:18:31,-20.4081,57.7,68.29,77,40,6.91
20,Tasiilaq,GL,2022-07-24 19:18:31,65.6145,-37.6368,48.36,83,30,5.91
21,Victoria,HK,2022-07-24 19:14:17,22.2855,114.1577,89.19,83,3,5.99
22,San Patricio,US,2022-07-24 19:18:32,28.017,-97.5169,99.16,42,0,20.11
23,Arraial Do Cabo,BR,2022-07-24 19:18:32,-22.9661,-42.0278,76.96,73,0,17.27
24,Vendome,FR,2022-07-24 19:18:33,47.8,1.0667,89.89,26,0,5.44
25,Kaitangata,NZ,2022-07-24 19:18:33,-46.2817,169.8464,35.02,93,42,1.79
26,Punta Arenas,CL,2022-07-24 19:14:19,-53.15,-70.9167,39.31,65,20,18.41
27,Hasaki,JP,2022-07-24 19:18:33,35.7333,140.8333,75.6,86,50,13.27
28,Ushuaia,AR,2022-07-24 19:18:34,-54.8,-68.3,35.26,75,20,8.05
29,Komae,JP,2022-07-24 19:18:34,35.6364,139.5744,82.71,75,99,7.16
30,Sungairaya,ID,2022-07-24 19:18:35,0.7,108.9,77.76,88,88,6.13
31,Bar Harbor,US,2022-07-24 19:15:17,44.3876,-68.2039,86.94,70,0,13.8
32,Pisco,PE,2022-07-24 19:18:35,-13.7,-76.2167,62.65,82,2,10.36
33,Pevek,RU,2022-07-24 19:18:35,69.7008,170.3133,35.28,91,38,1.81
34,Yellowknife,CA,2022-07-24 19:15:51,62.456,-114.3525,64.92,72,100,10.36
35,Vila Velha,BR,2022-07-24 19:18:36,-20.3297,-40.2925,76.95,70,0,9.22
36,Balabac,PH,2022-07-24 19:18:36,7.9868,117.0645,81.66,76,94,3.22
37,Mataura,NZ,2022-07-24 19:17:14,-46.1927,168.8643,33.15,96,43,2.62
38,Bairiki,KI,2022-07-24 19:18:37,1.3292,172.9752,80.6,78,20,13.8
39,Kavieng,PG,2022-07-24 19:18:37,-2.5744,150.7967,82.11,77,63,10.87
40,Yumen,CN,2022-07-24 19:17:23,40.2833,97.2,77.07,28,5,11.63
41,Nehe,CN,2022-07-24 19:18:38,48.4833,124.8333,64.27,92,56,4.83
42,Salalah,OM,2022-07-24 19:14:14,17.0151,54.0924,77.09,94,75,6.91
43,Ancud,CL,2022-07-24 19:18:20,-41.8697,-73.8203,49.23,91,100,4.65
44,Manggar,ID,2022-07-24 19:18:38,-2.8833,108.2667,79.65,85,94,11.68
45,Muroto,JP,2022-07-24 19:18:39,33.2833,134.15,78.37,82,100,3.33
46,Nouadhibou,MR,2022-07-24 19:18:39,20.931,-17.0347,80.58,74,20,17.27
47,Hermanus,ZA,2022-07-24 19:17:21,-34.4187,19.2345,52.81,79,0,12.88
48,Kotlas,RU,2022-07-24 19:19:40,61.2611,46.6556,63.61,97,94,4.29
49,Auki,SB,2022-07-24 19:19:40,-8.7676,160.7034,76.55,88,12,4.03
50,Bethel,US,2022-07-24 19:19:41,41.3712,-73.414,95.04,49,0,13.8
51,Dikson,RU,2022-07-24 19:17:14,73.5069,80.5464,46.08,85,100,17.94
52,Hobart,AU,2022-07-24 19:19:41,-42.8794,147.3294,45.05,95,40,4.61
