City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-07-21 21:28:32,-42.8794,147.3294,39.25,91,20,6.91
1,Ravar,IR,2022-07-21 21:28:32,31.2656,56.8055,87.84,14,0,5.82
2,Fukue,JP,2022-07-21 21:28:33,32.6881,128.8419,77.45,75,59,13.87
3,Port Hedland,AU,2022-07-21 21:28:33,-20.3167,118.5667,59.05,94,0,6.91
4,San Patricio,US,2022-07-21 21:28:34,28.017,-97.5169,98.19,41,5,20.62
5,Vardo,NO,2022-07-21 21:28:34,70.3705,31.1107,55.38,94,100,5.75
6,Victor Harbor,AU,2022-07-21 21:28:34,-35.5667,138.6167,53.67,75,100,12.21
7,Khatanga,RU,2022-07-21 21:28:35,71.9667,102.5,50.79,85,100,13.96
8,Bhan,PK,2022-07-21 21:28:35,26.5583,67.7214,88.9,68,98,8.57
9,Mbumi,TZ,2022-07-21 21:28:36,-7.9058,39.2105,69.58,85,19,3.24
10,Dikson,RU,2022-07-21 21:28:36,73.5069,80.5464,42.85,95,100,18.3
11,Krasnoselkup,RU,2022-07-21 21:23:48,65.7,82.4667,49.98,82,78,5.03
12,Hermanus,ZA,2022-07-21 21:28:23,-34.4187,19.2345,53.62,76,100,1.81
13,Ponta Delgada,PT,2022-07-21 21:28:37,37.7333,-25.6667,76.5,83,75,4.61
14,Cape Town,ZA,2022-07-21 21:25:56,-33.9258,18.4232,58.37,80,0,3.44
15,Victoria,HK,2022-07-21 21:24:23,22.2855,114.1577,86.18,80,0,1.99
16,Kundiawa,PG,2022-07-21 21:28:38,-6.0167,144.9667,59.88,96,54,3.06
17,Harper,LR,2022-07-21 21:28:39,4.375,-7.7169,75.45,76,100,8.68
18,Luderitz,NA,2022-07-21 21:28:39,-26.6481,15.1594,65.28,46,0,5.53
19,Lorengau,PG,2022-07-21 21:28:16,-2.0226,147.2712,81.34,77,89,8.55
20,Ushuaia,AR,2022-07-21 21:28:40,-54.8,-68.3,31.66,80,75,23.02
21,Lavrentiya,RU,2022-07-21 21:28:40,65.5833,-171.0,40.41,81,100,20.11
22,Ulladulla,AU,2022-07-21 21:28:41,-35.35,150.4667,54.27,80,56,7.43
23,Suarez,CO,2022-07-21 21:28:41,2.954,-76.6964,73.45,88,99,5.12
24,Saint George,US,2022-07-21 21:27:19,37.1041,-113.5841,112.62,13,0,14.97
25,Punta Arenas,CL,2022-07-21 21:25:58,-53.15,-70.9167,33.91,86,20,24.16
26,Talnakh,RU,2022-07-21 21:28:42,69.4865,88.3972,51.21,85,12,6.22
27,Georgetown,MY,2022-07-21 21:28:42,5.4112,100.3354,81.9,91,20,2.3
28,Kurumkan,RU,2022-07-21 21:28:43,54.3,110.3,60.96,97,100,0.89
29,Mackay,AU,2022-07-21 21:28:43,-21.15,149.2,60.67,88,23,8.39
30,The Pas,CA,2022-07-21 21:28:44,53.8251,-101.2541,66.22,68,100,17.27
31,Batemans Bay,AU,2022-07-21 21:28:44,-35.7167,150.1833,52.11,87,85,3.15
32,Pisco,PE,2022-07-21 21:28:44,-13.7,-76.2167,64.45,68,20,14.97
33,Bathsheba,BB,2022-07-21 21:28:45,13.2167,-59.5167,84.81,85,20,21.85
34,Chokurdakh,RU,2022-07-21 21:28:45,70.6333,147.9167,48.38,43,0,8.19
35,Nanakuli,US,2022-07-21 21:28:46,21.3906,-158.1547,85.95,54,75,13.8
36,Saint-Philippe,RE,2022-07-21 21:28:46,-21.3585,55.7679,63.99,84,49,14.83
37,Saskylakh,RU,2022-07-21 21:28:46,71.9167,114.0833,48.45,72,100,7.76
38,Port Blair,IN,2022-07-21 21:28:47,11.6667,92.75,79.16,88,100,5.32
39,Norman Wells,CA,2022-07-21 21:28:47,65.282,-126.8329,71.64,53,75,4.61
40,Markova,UA,2022-07-21 21:28:48,48.6758,24.4138,60.85,56,0,4.52
41,Albany,US,2022-07-21 21:28:48,42.6001,-73.9662,93.06,41,30,3.0
42,Katsuura,JP,2022-07-21 21:28:48,35.1333,140.3,78.55,90,51,14.52
43,Provideniya,RU,2022-07-21 21:28:49,64.3833,-173.3,42.91,81,100,20.13
44,Port Alfred,ZA,2022-07-21 21:28:49,-33.5906,26.891,57.9,73,0,6.11
45,Airai,TL,2022-07-21 21:28:50,-8.9266,125.4092,54.61,92,96,4.0
46,Vaini,TO,2022-07-21 21:29:50,-21.2,-175.2,77.16,83,40,5.75
47,Bethel,US,2022-07-21 21:25:15,41.3712,-73.414,91.04,66,0,10.36
48,Statesboro,US,2022-07-21 21:29:51,32.4488,-81.7832,85.8,70,0,6.91
49,Kapaa,US,2022-07-21 21:29:51,22.0752,-159.319,82.72,70,40,16.11
50,Alta Floresta,BR,2022-07-21 21:29:52,-9.8756,-56.0861,91.22,31,0,2.3
51,Rikitea,PF,2022-07-21 21:28:17,-23.1203,-134.9692,74.62,79,91,21.59
