City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leua,SK,48.2156,18.6071,68.99,64,99,4.88,overcast clouds
1,Barrow,US,71.2906,-156.7887,35.62,93,100,32.21,overcast clouds
2,Padang,ID,-0.9492,100.3543,84.25,73,99,3.24,overcast clouds
3,Nalut,LY,30.3333,10.85,78.31,24,0,7.23,clear sky
4,Ribeira Grande,PT,38.5167,-28.7,74.39,87,13,6.71,few clouds
5,Namibe,AO,-15.1961,12.1522,63.3,72,8,6.73,clear sky
6,Westport,US,41.1415,-73.3579,76.48,89,100,6.91,overcast clouds
7,Lagoa,PT,39.05,-27.9833,73.29,89,2,10.89,light rain
8,Cody,US,44.5263,-109.0565,71.82,41,40,6.91,scattered clouds
9,Raudeberg,NO,61.9875,5.1352,54.95,96,100,22.35,light rain
10,Ko Samui,TH,9.5357,99.9357,89.51,70,20,5.75,few clouds
11,Mataura,NZ,-46.1927,168.8643,44.47,97,100,9.98,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,75.09,75,83,9.84,broken clouds
13,Punta Arenas,CL,-53.15,-70.9167,30.31,80,20,5.75,few clouds
14,Kapaa,US,22.0752,-159.319,82.38,75,75,18.41,broken clouds
15,Ilam,NP,26.9167,87.9167,75.04,86,98,4.34,overcast clouds
16,Flinders,AU,-34.5833,150.8552,63.18,54,12,11.99,few clouds
17,Tabou,CI,4.423,-7.3528,72.18,81,4,1.92,clear sky
18,Avarua,CK,-21.2078,-159.775,69.85,68,20,4.61,few clouds
19,Sitka,US,57.0531,-135.33,57.09,88,100,0.0,mist
20,Ust-Omchug,RU,61.15,149.6333,72.73,34,70,2.37,broken clouds
21,Saint-Philippe,RE,-21.3585,55.7679,74.79,75,49,10.18,scattered clouds
22,Manuk Mangkaw,PH,4.8,119.85,83.07,74,100,6.17,overcast clouds
23,Hare Bay,CA,48.8499,-54.0148,67.35,92,95,10.13,overcast clouds
24,Erzin,TR,36.9559,36.2,84.22,36,0,4.94,clear sky
25,Maldonado,UY,-34.6667,-54.9167,59.23,96,100,9.64,overcast clouds
26,Port-Gentil,GA,-0.7193,8.7815,75.16,83,100,9.22,overcast clouds
27,Albany,US,42.6001,-73.9662,64.22,86,0,4.63,clear sky
28,Chokurdakh,RU,70.6333,147.9167,65.53,30,35,13.44,scattered clouds
29,Kilindoni,TZ,-7.9139,39.6668,76.84,74,32,17.22,scattered clouds
30,Vaini,TO,-21.2,-175.2,73.56,94,75,5.75,broken clouds
31,North Myrtle Beach,US,33.816,-78.68,81.1,90,20,14.97,few clouds
32,Hermanus,ZA,-34.4187,19.2345,55.83,48,5,7.4,clear sky
33,Ushuaia,AR,-54.8,-68.3,31.66,69,20,8.05,few clouds
34,Presidente Epitacio,BR,-21.7633,-52.1156,66.81,49,2,5.95,clear sky
35,Kaeo,NZ,-35.1,173.7833,56.32,88,56,17.31,broken clouds
36,Oranjemund,NA,-28.55,16.4333,52.79,94,5,7.81,clear sky
37,Takestan,IR,36.0696,49.6959,78.93,56,22,13.31,few clouds
38,Seoul,KR,37.5683,126.9778,94.39,52,40,4.61,scattered clouds
39,Vila Velha,BR,-20.3297,-40.2925,65.95,95,40,2.3,scattered clouds
40,Amuntai,ID,-2.4177,115.2494,90.01,55,47,1.68,scattered clouds
41,Busselton,AU,-33.65,115.3333,60.64,76,98,14.7,overcast clouds
42,Kwekwe,ZW,-18.9281,29.8149,56.59,68,50,7.92,scattered clouds
43,Bredasdorp,ZA,-34.5322,20.0403,48.22,49,2,5.7,clear sky
44,Saint-Pierre,RE,-21.3393,55.4781,74.88,58,0,4.61,clear sky
45,Mar Del Plata,AR,-38.0023,-57.5575,54.09,98,100,13.8,thunderstorm with rain
46,Katsuura,JP,35.1333,140.3,84.22,89,100,16.69,overcast clouds
47,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,75,11.5,broken clouds
48,Lebu,CL,-37.6167,-73.65,52.95,87,26,24.52,scattered clouds
49,Torbay,CA,47.6666,-52.7314,67.57,91,40,21.85,scattered clouds
50,Lavrentiya,RU,65.5833,-171.0,40.84,82,100,13.8,overcast clouds
51,Madimba,TZ,-10.4,40.3333,74.89,72,10,13.8,clear sky
52,Hattiesburg,US,31.3271,-89.2903,78.73,96,0,0.0,clear sky
53,Port Macquarie,AU,-31.4333,152.9167,69.89,68,37,9.55,scattered clouds
54,Pahrump,US,36.2083,-115.9839,78.31,73,85,1.99,overcast clouds
55,Port Elizabeth,ZA,-33.918,25.5701,46.69,87,0,9.22,clear sky
56,Isangel,VU,-19.55,169.2667,74.28,90,99,14.0,overcast clouds
57,Camana,PE,-16.6228,-72.7111,59.49,87,42,8.72,scattered clouds
58,Nouadhibou,MR,20.931,-17.0347,76.98,94,61,5.75,broken clouds
59,Ugoofaaru,MV,5.6667,73.0,82.35,78,58,17.2,broken clouds
60,Fort Nelson,CA,58.8053,-122.7002,63.99,72,75,2.3,broken clouds
61,Aras,ES,42.5617,-2.356,61.21,72,100,4.61,overcast clouds
